"id","compound_public_id","source_type","food_id","food_name","orig_food_common_name","orig_food_scientific_name","orig_source_id","orig_source_name","orig_content_avg","orig_unit","citation","preparation_type"
1179809,12174,"Compound",194,"Lingonberry","","","","",NA,"","MANUAL",""
1179810,12174,"Compound",195,"Vanilla","","","","",NA,"","MANUAL",""
1179811,12174,"Compound",196,"Common verbena","","","","",NA,"","MANUAL",""
1179812,12174,"Compound",197,"Broad bean","","","","",NA,"","MANUAL",""
1179813,12174,"Compound",198,"Adzuki bean","","","","",NA,"","MANUAL",""
1179814,12174,"Compound",199,"Gram bean","","","","",NA,"","MANUAL",""
1179815,12174,"Compound",200,"Mung bean","","","","",NA,"","MANUAL",""
1179816,12174,"Compound",201,"Climbing bean","","","","",NA,"","MANUAL",""
1179817,12174,"Compound",202,"Cowpea","","","","",NA,"","MANUAL",""
1179818,12174,"Compound",203,"Muscadine grape","","","","",NA,"","MANUAL",""
1179819,12174,"Compound",204,"Common grape","","","","",NA,"","MANUAL",""
714536,12174,"Compound",205,"Corn","Corn","Zea mays L. [Poaceae]","EUGENOL","EUGENOL",NA,"","DUKE","raw"
687706,12174,"Compound",206,"Ginger","Ginger, dried","","646","Eugenol",0,"mg/100g","PHENOL EXPLORER","dried or powder"
1179820,12174,"Compound",207,"Arctic blackberry","","","","",NA,"","MANUAL",""
1179821,12174,"Compound",208,"Banana","","","","",NA,"","MANUAL",""
1179822,12174,"Compound",209,"Bayberry","","","","",NA,"","MANUAL",""
1179823,12174,"Compound",210,"Elliott's blueberry","","","","",NA,"","MANUAL",""
1179824,12174,"Compound",211,"Canada blueberry","","","","",NA,"","MANUAL",""
1179825,12174,"Compound",212,"Bog bilberry","","","","",NA,"","MANUAL",""
1179826,12174,"Compound",213,"Buffalo currant","","","","",NA,"","MANUAL",""
1179827,12174,"Compound",214,"Celeriac","","","","",NA,"","MANUAL",""
1179828,12174,"Compound",215,"Celery stalks","","","","",NA,"","MANUAL",""
1179829,12174,"Compound",216,"Chinese chives","","","","",NA,"","MANUAL",""
1179830,12174,"Compound",217,"European cranberry","","","","",NA,"","MANUAL",""
1179831,12174,"Compound",218,"Deerberry","","","","",NA,"","MANUAL",""
1179832,12174,"Compound",219,"Ginseng","","","","",NA,"","MANUAL",""
1179833,12174,"Compound",220,"Cascade huckleberry","","","","",NA,"","MANUAL",""
1179834,12174,"Compound",221,"Oval-leaf huckleberry","","","","",NA,"","MANUAL",""
1179835,12174,"Compound",222,"Evergreen huckleberry","","","","",NA,"","MANUAL",""
1179836,12174,"Compound",223,"Red huckleberry","","","","",NA,"","MANUAL",""
1179837,12174,"Compound",224,"Longan","","","","",NA,"","MANUAL",""
1179838,12174,"Compound",225,"Macadamia nut (M. tetraphylla)","","","","",NA,"","MANUAL",""
1179839,12174,"Compound",226,"Garden onion (var.)","","","","",NA,"","MANUAL",""
1179840,12174,"Compound",227,"Summer grape","","","","",NA,"","MANUAL",""
1179841,12174,"Compound",228,"Fox grape","","","","",NA,"","MANUAL",""
1179842,12174,"Compound",229,"Nectarine","","","","",NA,"","MANUAL",""
1179843,12174,"Compound",230,"Peach (var.)","","","","",NA,"","MANUAL",""
1179844,12174,"Compound",231,"Pepper (C. baccatum)","","","","",NA,"","MANUAL",""
1179845,12174,"Compound",232,"Pepper (C. chinense)","","","","",NA,"","MANUAL",""
1179846,12174,"Compound",233,"Pepper (Capsicum)","","","","",NA,"","MANUAL",""
1179847,12174,"Compound",234,"Rambutan","","","","",NA,"","MANUAL",""
