"klass","subklass","compound_public_id","compound_name","directparent","component"
"Flavonoids","Flavonoid glycosides","FDB001579","Cyanidin 3-[6''-(4-glucosyl-p-coumaryl)sophoroside] 5-glucoside","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001583","Peonidin 3-(6''-acetyl-glucoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001584","Peonidin 3-(6''-caffeoyl-glucoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001585","Peonidin acetyl 3,5-diglucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001586","Peonidin 3-(6''-malonyl-glucoside) 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001587","Peonidin 3-feruloyl-diglucoside 5-glucoside","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001588","Peonidin 3-caffeoyl-rutinoside 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001589","Delphinidin 3-caffeoylglucoside","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001591","Petunidin 3-(6''-acetylglucoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001592","Petunidin 3-(4'''-p-coumaroyl-rutinoside)","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001662","5-Carboxypyranocyanidin 3-O-beta-glucopyranoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001695","Pelargonidin 3-O-[2-O-(6-(E)-feruloyl-beta-D-glucopyranosyl)-6-O-(E)-feruloyl-beta-D-glucopyranoside] 5-O-(beta-D-glucopyranoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001719","Cyanidin 3-(3-glucosyl-6-malonylglucoside) 4'-glucoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001720","Cyanidin 7-(3-glucosyl-6-malonylglucoside) 4'-glucoside","Anthocyanidin-7-O-Glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001721","Delphinidin 3-[6-(4-(Z)-p-coumarylrhamnosyl)glucoside] 5-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001723","Delphinidin 3-glucoside 5-(6''-malonylglucoside)","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001724","Malvidin 3-(6-(4-feruloyl-alpha-rhamnosyl)-beta-glucoside) 5-beta-glucoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001725","Pelargonidin 3-O-[2-O-(6-O-(E)-feruloyl-beta-D-glucopyranosyl)-beta-D-glucopyranoside] 5-O-(beta-D-glucopyranoside)","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001726","Pelargonidin 3-O-[2-O-(6-(E)-caffeoyl-beta-D-glucopyranosyl)-6-O-(E)-caffeoyl-beta-D-glucopyranoside] 5-O-(beta-D-glucopyranoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001727","Pelargonidin 3-O-[2-O-(6-(E)-feruloyl-beta-D-glucopyranosyl)-6-O-(E)-caffeoyl-beta-D-glucopyranoside] 5-O-(beta-D-glucopyranoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001728","Pelargonidin 3-O-[2-O-beta-D-glucopyranosyl-6-O-(E)-p-coumaroyl-beta-D-glucopyranoside] 5-O-(beta-D-glucopyranoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001729","Pelargonidin 3-O-[2-O-(6-(E)-caffeoyl-beta-D-glucopyranosyl)-6-O-(E)-p-coumaroyl-beta-D-glucopyranoside] 5-O-(beta-D-glucopyranoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001730","Pelargonidin 3-O-[2-O-(6-(E)-caffeoyl-beta-D-glucopyranosyl)-6-O-(E)-feruloyl-beta-D-glucopyranoside] 5-O-(beta-D-glucopyranoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001731","Pelargonidin 3-O-[2-O-(6-(E)-feruloyl-beta-D-glucopyranosyl)-6-O-(E)-p-coumaroyl-beta-D-glucopyranoside] 5-O-(beta-D-glucopyranoside)","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001732","Pelargonidin 3-O-[2-O-(2-(E)-feruloyl-beta-D-glucopyranosyl)-6-O-(E)-feruloyl-beta-D-glucopyranoside] 5-O-(beta-D-glucopyranoside)","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001733","Petunidin 3-O-[6-O-(4-O-(E)-caffeoyl-O-alpha-rhamnopyranosyl)-beta-glucopyranoside]-5-O-beta-glucopyranoside","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001734","Petunidin 3-O-[6-O-(4-O-(4-O-(beta-D-glucopyranosyl)-feruloyl)-alpha-L-rhamnopyranosyl)-beta-D-glucopyranoside]- 5-O-[beta-D-glucopyranoside]","Anthocyanidin-5-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001735","(Cyanidin 3-O-(3-O-acetyl-beta-glucoside) (kaempferol 3-O-(2-O-beta-glucosyl-beta-glucoside)-7-O-beta-glucosiduronic acid) malonate","Anthocyanidin 3-O-6-p-coumaroyl glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001737","5-Carboxypyranopelargonidin 3-O-beta-glucopyranoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB001754","Delphinidin 3-(3''-p-coumaroylglucoside)","Anthocyanidin-3-O-glycosides","Anthocyanidins"
"Flavonoids","Flavonoid glycosides","FDB002603","Cyanidin 3-glucoside","Anthocyanidin-3-O-glycosides","Anthocyanidins"
